연도,지역,1,2,3,4,5,6,7,8,9,10,11,12,연간 총계,월평균
2015,대구,1896.0,932.0,456.0,1478.0,2144.0,2959.0,2221.0,2254.0,507.0,863.0,3345.0,1482.0,20537.0,1711.0
2015,대전,539.0,246.0,1226.0,197.0,1941.0,945.0,225.0,287.0,261.0,2967.0,347.0,330.0,9511.0,793.0
2015,부산,1198.0,944.0,3980.0,2378.0,1758.0,6820.0,4035.0,2505.0,1945.0,2021.0,2476.0,1770.0,31830.0,2652.0
2015,서울,3881.0,3159.0,7135.0,6104.0,6472.0,7281.0,8563.0,8504.0,11071.0,18817.0,7295.0,10153.0,98435.0,8203.0
2015,세종,1174.0,225.0,88.0,1724.0,37.0,1854.0,2552.0,2580.0,1796.0,1040.0,326.0,2462.0,15858.0,1322.0
2015,울산,155.0,1507.0,835.0,1036.0,745.0,878.0,1100.0,292.0,287.0,1437.0,5807.0,246.0,14325.0,1194.0
2015,인천,1926.0,775.0,3915.0,1031.0,2069.0,3111.0,983.0,7142.0,3005.0,7079.0,1165.0,4942.0,37143.0,3095.0
2015,전남,1329.0,821.0,535.0,1084.0,892.0,979.0,698.0,1445.0,3392.0,2864.0,947.0,1411.0,16397.0,1366.0
2015,전북,610.0,270.0,1795.0,2200.0,1138.0,657.0,931.0,937.0,2327.0,5530.0,1330.0,1479.0,19204.0,1600.0
2015,제주,1896.0,517.0,958.0,1221.0,984.0,1696.0,1380.0,1213.0,945.0,1220.0,1169.0,2250.0,15449.0,1287.0
2015,충남,1894.0,1570.0,3843.0,4842.0,3188.0,4435.0,1291.0,4839.0,3089.0,3872.0,6716.0,3781.0,43360.0,3613.0
2015,충북,2274.0,655.0,929.0,2288.0,1455.0,4386.0,1858.0,1380.0,1856.0,7553.0,2536.0,4979.0,32149.0,2679.0
2016,강원,1351.0,898.0,1587.0,742.0,3093.0,3351.0,610.0,1944.0,1723.0,4680.0,1461.0,6055.0,27495.0,2291.0
2016,경기,6451.0,11197.0,19786.0,22336.0,21677.0,22919.0,25987.0,15998.0,23839.0,20349.0,21239.0,37814.0,249592.0,20799.0
2016,경남,898.0,7427.0,1940.0,8436.0,5176.0,4203.0,5096.0,2419.0,3932.0,5719.0,7424.0,3886.0,56556.0,4713.0
2016,경북,1576.0,1923.0,2403.0,2826.0,3557.0,1790.0,1936.0,3142.0,4642.0,2104.0,4171.0,4176.0,34246.0,2854.0
2016,광주,2245.0,663.0,139.0,3265.0,1857.0,447.0,211.0,2789.0,583.0,70.0,3436.0,1828.0,17533.0,1461.0
2016,대구,2096.0,1303.0,3016.0,503.0,1457.0,2325.0,3041.0,426.0,128.0,231.0,1509.0,1949.0,17984.0,1499.0
2016,대전,263.0,162.0,2677.0,374.0,191.0,137.0,461.0,299.0,407.0,1436.0,1175.0,928.0,8510.0,709.0
2016,부산,1804.0,1898.0,4969.0,3630.0,3045.0,3244.0,1085.0,3739.0,702.0,2261.0,4606.0,4552.0,35535.0,2961.0
2016,서울,6431.0,4940.0,7395.0,5681.0,7379.0,8175.0,5090.0,9249.0,9640.0,8458.0,7674.0,16941.0,97053.0,8088.0
2016,세종,61.0,37.0,885.0,4012.0,43.0,1127.0,631.0,234.0,2259.0,92.0,2650.0,4607.0,16638.0,1386.0
2016,울산,778.0,208.0,277.0,3294.0,316.0,1030.0,364.0,415.0,940.0,4173.0,1716.0,1750.0,15261.0,1272.0
